Entity,Day,"People vaccinated (cumulative, per hundred)"
Brazil,2021-04-10,10.982632
Brazil,2021-04-11,11.079501
Brazil,2021-04-12,11.369373
Brazil,2021-04-13,11.636899
Brazil,2021-04-14,11.885698
Brazil,2021-04-15,12.1147995
Brazil,2021-04-16,12.2727165
Brazil,2021-04-17,12.403408
Brazil,2021-04-18,12.462905
Brazil,2021-04-19,12.699201
Brazil,2021-04-20,12.92594
Brazil,2021-04-21,13.084746
Brazil,2021-04-22,13.260186
Brazil,2021-04-23,13.686655
Brazil,2021-04-24,13.780374
Brazil,2021-04-25,13.809139
Brazil,2021-04-26,14.075631
Brazil,2021-04-27,14.396105
Brazil,2021-04-28,14.620896
Brazil,2021-04-29,14.8562765
Brazil,2021-04-30,15.071723
Brazil,2021-05-01,15.135482
Brazil,2021-05-02,15.160932
Brazil,2021-05-03,15.380092
Brazil,2021-05-04,15.642024
Brazil,2021-05-05,15.924576
Brazil,2021-05-06,16.295841
Brazil,2021-05-07,16.646454
Brazil,2021-05-08,16.762873
Brazil,2021-05-09,16.793623
Brazil,2021-05-10,17.082802
Brazil,2021-05-11,17.36681
Brazil,2021-05-12,17.70464
Brazil,2021-05-13,17.958797
Brazil,2021-05-14,18.22128
Brazil,2021-05-15,18.340212
Brazil,2021-05-16,18.426792
Brazil,2021-05-17,18.679546
Brazil,2021-05-18,18.968481
Brazil,2021-05-19,19.227013
Brazil,2021-05-20,19.53803
Brazil,2021-05-21,19.80874
Brazil,2021-05-22,19.914762
Brazil,2021-05-23,20.196507
Brazil,2021-05-24,20.450197
Brazil,2021-05-25,20.696442
Brazil,2021-05-26,20.943336
Brazil,2021-05-27,21.174234
Brazil,2021-05-28,21.532585
Brazil,2021-05-29,21.68488
Brazil,2021-05-30,21.723053
Brazil,2021-05-31,22.028896
Brazil,2021-06-01,22.316315
Brazil,2021-06-02,22.753485
Brazil,2021-06-03,22.976702
Brazil,2021-06-04,23.282177
Brazil,2021-06-05,23.533009
Brazil,2021-06-06,23.625298
Brazil,2021-06-07,23.956053
Brazil,2021-06-08,24.4893
Brazil,2021-06-09,24.995686
Brazil,2021-06-10,25.475988
Brazil,2021-06-11,26.002893
Brazil,2021-06-12,26.291332
Brazil,2021-06-13,26.445835
Brazil,2021-06-14,26.940403
Brazil,2021-06-15,27.536203
Brazil,2021-06-16,28.086874
Brazil,2021-06-17,29.094368
Brazil,2021-06-18,29.854475
Brazil,2021-06-19,30.269724
Brazil,2021-06-20,30.47903
Brazil,2021-06-21,31.107868
Brazil,2021-06-22,31.710226
Brazil,2021-06-23,32.28191
Brazil,2021-06-24,32.86326
Brazil,2021-06-25,33.46052
Brazil,2021-06-26,33.803238
Brazil,2021-06-27,33.91197
Brazil,2021-06-28,34.39022
Brazil,2021-06-29,35.15997
Brazil,2021-06-30,35.70851
Brazil,2021-07-01,36.2732
Brazil,2021-07-02,36.89206
Brazil,2021-07-03,37.188725
Brazil,2021-07-04,37.33255
Brazil,2021-07-05,37.961506
Brazil,2021-07-06,38.587986
Brazil,2021-07-07,39.299618
Brazil,2021-07-08,39.917385
Brazil,2021-07-09,40.4963
Brazil,2021-07-10,40.85579
Brazil,2021-07-11,41.02218
Brazil,2021-07-12,41.49403
Brazil,2021-07-13,42.027126
Brazil,2021-07-14,42.5329
Brazil,2021-07-15,43.148335
Brazil,2021-07-16,43.621834
Brazil,2021-07-17,43.95214
Brazil,2021-07-18,44.045555
Brazil,2021-07-19,44.595303
Brazil,2021-07-20,45.220623
Brazil,2021-07-21,45.79253
Brazil,2021-07-22,46.327023
Brazil,2021-07-23,46.937687
Brazil,2021-07-24,47.260464
Brazil,2021-07-25,47.364506
Brazil,2021-07-26,47.79828
Brazil,2021-07-27,48.276264
Brazil,2021-07-28,48.75523
Brazil,2021-07-29,49.14895
Brazil,2021-07-30,49.678764
Brazil,2021-07-31,49.966908
Brazil,2021-08-01,50.06632
Brazil,2021-08-02,50.371624
Brazil,2021-08-03,50.943752
Brazil,2021-08-04,51.666756
Brazil,2021-08-05,52.183704
Brazil,2021-08-06,52.70494
Brazil,2021-08-07,52.943104
Brazil,2021-08-08,53.049618
Brazil,2021-08-09,53.482273
Brazil,2021-08-10,54.149998
Brazil,2021-08-11,54.801727
Brazil,2021-08-12,55.52884
Brazil,2021-08-13,56.191845
Brazil,2021-08-14,56.64698
Brazil,2021-08-15,56.824078
Brazil,2021-08-16,57.386066
Brazil,2021-08-17,58.268307
Brazil,2021-08-18,58.808914
Brazil,2021-08-19,59.513615
Brazil,2021-08-20,60.095257
Brazil,2021-08-21,60.468094
Brazil,2021-08-22,60.673836
Brazil,2021-08-23,61.27217
Brazil,2021-08-24,61.94197
Brazil,2021-08-25,62.522842
Brazil,2021-08-26,62.72665
Brazil,2021-08-27,63.212505
Brazil,2021-08-28,63.53053
Brazil,2021-08-29,63.69153
Brazil,2021-08-30,64.0861
Brazil,2021-08-31,64.727974
Brazil,2021-09-01,65.1751
Brazil,2021-09-02,65.569916
Brazil,2021-09-03,65.929085
Brazil,2021-09-04,66.11281
Brazil,2021-09-05,66.19428
Brazil,2021-09-06,66.56267
Brazil,2021-09-07,66.67359
Brazil,2021-09-08,66.95978
Brazil,2021-09-09,67.31406
Brazil,2021-09-10,67.702324
Brazil,2021-09-11,67.90003
Brazil,2021-09-12,67.98842
Brazil,2021-09-13,68.202286
Brazil,2021-09-14,68.519295
Brazil,2021-09-15,68.83364
Brazil,2021-09-16,69.06026
Brazil,2021-09-17,69.42266
Brazil,2021-09-18,69.59903
Brazil,2021-09-19,69.685585
Brazil,2021-09-20,69.861565
Brazil,2021-09-21,70.12298
Brazil,2021-09-22,70.357796
Brazil,2021-09-23,70.61642
Brazil,2021-09-24,70.8464
Brazil,2021-09-25,71.03274
Brazil,2021-09-26,71.117714
Brazil,2021-09-27,71.26352
Brazil,2021-09-28,71.50641
Brazil,2021-09-29,71.74378
Brazil,2021-09-30,72.00017
Brazil,2021-10-01,72.22854
Brazil,2021-10-02,72.35491
Brazil,2021-10-03,72.4074
Brazil,2021-10-04,72.52272
Brazil,2021-10-05,72.716034
Brazil,2021-10-06,72.898476
Brazil,2021-10-07,73.08362
Brazil,2021-10-08,73.2317
Brazil,2021-10-09,73.31284
Brazil,2021-10-10,73.3657
Brazil,2021-10-11,73.50253
Brazil,2021-10-12,73.5561
Brazil,2021-10-13,73.60633
Brazil,2021-10-14,73.95258
Brazil,2021-10-15,74.18501
Brazil,2021-10-16,74.32679
Brazil,2021-10-17,74.377335
Brazil,2021-10-18,74.44312
Brazil,2021-10-19,74.60179
Brazil,2021-10-20,74.80648
Brazil,2021-10-21,74.878876
Brazil,2021-10-22,74.97633
Brazil,2021-10-23,75.03839
Brazil,2021-10-24,75.121994
Brazil,2021-10-25,75.26226
Brazil,2021-10-26,75.42314
Brazil,2021-10-27,75.552
Brazil,2021-10-28,75.685455
Brazil,2021-10-29,75.80033
Brazil,2021-10-30,75.85042
Brazil,2021-10-31,75.88413
Brazil,2021-11-01,75.90426
Brazil,2021-11-02,75.92161
Brazil,2021-11-03,75.980736
Brazil,2021-11-04,76.10615
Brazil,2021-11-05,76.23826
Brazil,2021-11-06,76.281075
Brazil,2021-11-07,76.416084
Brazil,2021-11-08,76.541664
Brazil,2021-11-09,76.64033
Brazil,2021-11-10,76.75126
Brazil,2021-11-11,76.88345
Brazil,2021-11-12,76.90835
Brazil,2021-11-13,76.94215
Brazil,2021-11-14,76.98697
Brazil,2021-11-15,77.0177
Brazil,2021-11-16,77.04384
Brazil,2021-11-17,77.15294
Brazil,2021-11-18,77.219574
Brazil,2021-11-19,77.29414
Brazil,2021-11-20,77.357994
Brazil,2021-11-21,77.41686
Brazil,2021-11-22,77.48591
Brazil,2021-11-23,77.55758
Brazil,2021-11-24,77.6089
Brazil,2021-11-25,77.66899
Brazil,2021-11-26,77.76598
Brazil,2021-11-27,77.79472
Brazil,2021-11-28,77.83157
Brazil,2021-11-29,77.84197
Brazil,2021-11-30,77.946526
Brazil,2021-12-01,78.057335
Brazil,2021-12-02,78.11959
Brazil,2021-12-03,78.19901
Brazil,2021-12-04,78.23995
Brazil,2021-12-05,78.26189
Brazil,2021-12-06,78.26905
Brazil,2021-12-07,78.31991
Brazil,2021-12-08,78.362076
Brazil,2021-12-09,78.416466
Brazil,2021-12-14,78.42556
Brazil,2021-12-15,78.52125
Brazil,2021-12-16,78.589645
Brazil,2021-12-17,78.64431
Brazil,2021-12-18,78.65153
Brazil,2021-12-19,78.65568
Brazil,2021-12-20,78.68107
Brazil,2021-12-21,78.720665
Brazil,2021-12-22,78.8547
Brazil,2021-12-23,78.88222
Brazil,2021-12-27,78.90966
Brazil,2021-12-28,78.96207
Brazil,2021-12-29,79.00065
Brazil,2021-12-30,79.02074
Brazil,2021-12-31,79.02543
Brazil,2022-01-01,79.02724
Brazil,2022-01-02,79.03076
Brazil,2022-01-03,79.08494
Brazil,2022-01-04,79.13549
Brazil,2022-01-05,79.15869
Brazil,2022-01-09,79.22657
Brazil,2022-01-10,79.27163
Brazil,2022-01-11,79.29844
Brazil,2022-01-12,79.299644
Brazil,2022-01-13,79.32872
Brazil,2022-01-14,79.34631
Brazil,2022-01-15,79.36481
Brazil,2022-01-16,79.45226
Brazil,2022-01-17,79.564995
Brazil,2022-01-18,79.59144
Brazil,2022-01-19,79.668205
Brazil,2022-01-20,79.765526
Brazil,2022-01-21,79.82405
Brazil,2022-01-22,79.89049
Brazil,2022-01-23,79.926674
Brazil,2022-01-24,80.04566
Brazil,2022-01-25,80.14332
Brazil,2022-01-26,80.32143
Brazil,2022-01-27,80.483116
Brazil,2022-01-28,80.65349
Brazil,2022-01-29,80.75165
Brazil,2022-01-30,80.77052
Brazil,2022-01-31,80.987625
Brazil,2022-02-01,81.119385
Brazil,2022-02-02,81.268036
Brazil,2022-02-03,81.4141
Brazil,2022-02-04,81.68241
Brazil,2022-02-05,81.836555
Brazil,2022-02-06,81.8742
Brazil,2022-02-07,82.09572
Brazil,2022-02-08,82.20671
Brazil,2022-02-09,82.25899
Brazil,2022-02-10,82.452484
Brazil,2022-02-11,82.689415
Brazil,2022-02-12,82.79242
Brazil,2022-02-13,82.83841
Brazil,2022-02-14,82.93653
Brazil,2022-02-15,83.05285
Brazil,2022-02-16,83.1877
Brazil,2022-02-17,83.311325
Brazil,2022-02-18,83.65602
Brazil,2022-02-19,83.754715
Brazil,2022-02-20,83.79312
Brazil,2022-02-21,83.88077
Brazil,2022-02-22,83.98489
Brazil,2022-02-23,84.125046
Brazil,2022-02-24,84.2459
Brazil,2022-02-25,84.376396
Brazil,2022-02-26,84.42198
Brazil,2022-02-27,84.43858
Brazil,2022-02-28,84.51588
Brazil,2022-03-01,84.56086
Brazil,2022-03-03,84.6326
Brazil,2022-03-04,84.69217
Brazil,2022-03-05,84.73538
Brazil,2022-03-06,84.75518
Brazil,2022-03-07,84.812675
Brazil,2022-03-08,84.86965
Brazil,2022-03-09,84.95119
Brazil,2022-03-10,85.25111
Brazil,2022-03-11,85.30973
Brazil,2022-03-12,85.45418
Brazil,2022-03-13,85.472725
Brazil,2022-03-14,85.51981
Brazil,2022-03-15,85.54835
Brazil,2022-03-16,85.59214
Brazil,2022-03-17,85.63398
Brazil,2022-03-18,85.71554
Brazil,2022-03-19,85.75166
Brazil,2022-03-20,85.76066
Brazil,2022-03-21,85.81255
Brazil,2022-03-22,85.8384
Brazil,2022-03-23,85.87114
Brazil,2022-03-24,85.90029
Brazil,2022-03-25,85.93501
Brazil,2022-03-26,85.949844
Brazil,2022-03-27,85.96983
Brazil,2022-03-28,86.00864
Brazil,2022-03-29,86.10204
Brazil,2022-03-30,86.14783
Brazil,2022-03-31,86.17584
Brazil,2022-04-03,86.228004
Brazil,2022-04-04,86.24301
Brazil,2022-04-05,86.279816
Brazil,2022-04-06,86.32374
Brazil,2022-04-07,86.348625
Brazil,2022-04-08,86.37542
Brazil,2022-04-09,86.391594
Brazil,2022-04-10,86.398766
Brazil,2022-04-11,86.424
Brazil,2022-04-12,86.45015
Brazil,2022-04-13,86.465
Brazil,2022-04-14,86.49048
Brazil,2022-04-17,86.528786
Brazil,2022-04-18,86.54548
Brazil,2022-04-19,86.677055
Brazil,2022-04-20,86.694565
Brazil,2022-04-21,86.714294
Brazil,2022-04-23,86.72859
Brazil,2022-04-24,86.72863
Brazil,2022-04-25,86.743454
Brazil,2022-04-26,86.75685
Brazil,2022-04-27,86.78757
Brazil,2022-04-28,86.808464
Brazil,2022-04-29,86.82527
Brazil,2022-05-01,86.8368
Brazil,2022-05-02,86.85699
Brazil,2022-05-03,86.87689
Brazil,2022-05-04,86.91053
Brazil,2022-05-05,86.92098
Brazil,2022-05-06,86.94481
Brazil,2022-05-07,86.9494
Brazil,2022-05-08,86.9546
Brazil,2022-05-09,86.966156
Brazil,2022-05-10,86.97453
Brazil,2022-05-11,87.04429
Brazil,2022-05-12,87.072815
Brazil,2022-05-13,87.078606
Brazil,2022-05-14,87.07966
Brazil,2022-05-15,87.080154
Brazil,2022-05-16,87.08388
Brazil,2022-05-18,87.11364
Brazil,2022-05-19,87.1309
Brazil,2022-05-20,87.135376
Brazil,2022-05-21,87.137695
Brazil,2022-05-26,87.34854
Brazil,2022-05-27,87.40348
Brazil,2022-05-28,87.421616
Brazil,2022-05-29,87.424416
Brazil,2022-05-30,87.43682
Brazil,2022-05-31,87.44133
Brazil,2022-06-01,87.45591
Brazil,2022-06-03,87.50041
Brazil,2022-06-04,87.52107
Brazil,2022-06-05,87.52835
Brazil,2022-06-06,87.53509
Brazil,2022-06-07,87.55345
Brazil,2022-06-08,87.56292
Brazil,2022-06-09,87.61262
Brazil,2022-06-11,87.62541
Brazil,2022-06-12,87.62783
Brazil,2022-06-13,87.633316
Brazil,2022-06-14,87.64405
Brazil,2022-06-15,87.65171
Brazil,2022-06-16,87.690285
Brazil,2022-06-17,87.693214
Brazil,2022-06-18,87.69675
Brazil,2022-06-19,87.697655
Brazil,2022-06-20,87.708435
Brazil,2022-06-21,87.721176
Brazil,2022-06-22,87.73356
Brazil,2022-06-23,87.747215
Brazil,2022-06-24,87.75433
Brazil,2022-06-25,87.755104
Brazil,2022-06-26,87.75662
Brazil,2022-06-27,87.76465
Brazil,2022-06-29,87.80645
Brazil,2022-06-30,87.816124
Brazil,2022-07-01,87.84191
Brazil,2022-07-02,87.847305
Brazil,2022-07-03,87.85497
Brazil,2022-07-04,87.86535
Brazil,2022-07-05,87.875626
Brazil,2022-07-07,87.902245
Brazil,2022-07-09,87.91289
Brazil,2022-07-10,87.91407
Brazil,2022-07-11,87.92062
Brazil,2022-07-13,87.93014
Brazil,2022-07-14,87.943924
Brazil,2022-07-16,87.95454
Brazil,2022-07-17,87.95589
Brazil,2022-07-24,88.06595
Brazil,2022-08-08,88.36372
Brazil,2022-08-09,88.37432
Brazil,2022-08-10,88.391304
Brazil,2022-08-11,88.40462
Brazil,2022-08-12,88.43085
Brazil,2022-08-14,88.43931
Brazil,2022-08-15,88.449135
Brazil,2022-08-18,88.49016
Brazil,2022-08-19,88.49581
Brazil,2022-08-20,88.512566
Brazil,2022-08-21,88.51815
Brazil,2022-08-22,88.5264
Brazil,2022-08-23,88.586464
Brazil,2022-08-24,88.61268
Brazil,2022-08-25,88.6207
Brazil,2022-08-26,88.63135
Brazil,2022-08-27,88.63546
Brazil,2022-08-28,88.63564
Brazil,2022-08-29,88.668884
Brazil,2022-08-30,88.675934
Brazil,2022-08-31,88.689606
Brazil,2022-09-01,88.700325
Brazil,2022-09-02,88.70794
Brazil,2022-09-03,88.71763
Brazil,2022-09-04,88.71972
Brazil,2022-09-05,88.723114
Brazil,2022-09-06,88.73651
Brazil,2022-09-07,88.73936
Brazil,2022-09-08,88.743355
Brazil,2022-09-09,88.75457
Brazil,2022-09-10,88.75806
Brazil,2022-09-11,88.75898
Brazil,2022-09-12,88.76309
Brazil,2022-09-13,88.782425
Brazil,2022-09-14,88.79225
Brazil,2022-09-15,88.79874
Brazil,2022-09-16,88.805595
Brazil,2022-09-17,88.81289
Brazil,2022-09-18,88.81536
Brazil,2022-09-19,88.82007
Brazil,2022-09-20,88.82405
Brazil,2022-09-21,88.83371
Brazil,2022-09-23,88.85017
Brazil,2022-09-24,88.85422
Brazil,2022-09-25,88.85545
Brazil,2022-09-26,89.062416
Brazil,2022-09-27,89.06682
Brazil,2022-09-28,89.0737
Brazil,2022-10-07,89.09689
Brazil,2022-10-08,89.09689
Brazil,2022-10-09,89.09689
Brazil,2022-10-10,89.09717
Brazil,2022-10-11,89.09717
Brazil,2022-10-13,89.10115
Brazil,2022-10-14,89.10115
Brazil,2022-10-15,89.10115
Brazil,2022-10-16,89.10115
Brazil,2022-10-17,89.10115
Brazil,2022-10-18,89.10129
Brazil,2022-10-19,89.10129
Brazil,2022-10-20,89.10129
Brazil,2022-10-21,89.10129
Brazil,2022-10-22,89.10129
Brazil,2022-10-23,89.10129
Brazil,2022-10-24,89.10129
Brazil,2022-10-25,89.10129
Brazil,2022-10-26,89.10129
Brazil,2022-10-27,89.10129
Brazil,2022-10-28,89.10129
Brazil,2022-10-31,89.10129
Brazil,2022-11-01,89.10129
Brazil,2022-11-02,89.10129
Brazil,2022-11-04,89.10689
Brazil,2022-11-09,89.10787
Brazil,2022-11-11,89.10787
Brazil,2022-11-14,89.10787
Brazil,2022-11-16,89.2406
Brazil,2022-11-18,89.2406
Brazil,2022-11-19,89.2406
Brazil,2022-11-20,89.2406
Brazil,2022-11-21,89.2406
Brazil,2022-11-22,89.2406
Brazil,2022-11-23,89.2406
Brazil,2022-11-24,89.2406
Brazil,2022-11-25,89.2406
Brazil,2022-11-26,89.2406
Brazil,2022-11-27,89.2406
Brazil,2022-11-29,89.39273
Brazil,2022-11-30,89.41669
Brazil,2022-12-01,89.424484
Brazil,2022-12-03,89.42908
Brazil,2022-12-04,89.430016
Brazil,2022-12-05,89.433304
Brazil,2022-12-07,89.443306
Brazil,2022-12-09,89.446724
Brazil,2022-12-10,89.44893
Brazil,2022-12-11,89.449524
Brazil,2022-12-12,89.45305
Brazil,2022-12-13,89.45641
Brazil,2022-12-15,89.457085
Brazil,2022-12-16,89.53855
Brazil,2022-12-17,89.54068
Brazil,2022-12-18,89.642
Brazil,2022-12-20,89.64408
Brazil,2022-12-22,89.646065
Brazil,2022-12-23,89.64621
Brazil,2022-12-24,89.650505
Brazil,2022-12-25,89.651634
Brazil,2022-12-26,89.65174
Brazil,2022-12-27,89.6548
Brazil,2022-12-29,89.65619
Brazil,2022-12-30,89.65637
Brazil,2022-12-31,89.65679
Brazil,2023-01-01,89.65681
Brazil,2023-01-03,89.66165
Brazil,2023-01-04,89.66272
Brazil,2023-01-06,89.77791
Brazil,2023-01-07,89.781235
Brazil,2023-01-08,89.783
Brazil,2023-01-09,89.783005
Brazil,2023-01-10,89.7831
Brazil,2023-01-11,89.783714
Brazil,2023-01-12,89.78388
Brazil,2023-01-13,89.78405
Brazil,2023-01-14,89.78415
Brazil,2023-01-15,89.78423
Brazil,2023-01-16,89.78425
Brazil,2023-01-17,89.84214
Brazil,2023-01-18,89.842285
Brazil,2023-01-19,89.842415
Brazil,2023-01-21,89.84665
Brazil,2023-01-22,89.84667
Brazil,2023-01-24,89.84673
Brazil,2023-01-25,89.88841
Brazil,2023-01-26,89.89024
Brazil,2023-01-27,89.89119
Brazil,2023-01-28,89.891266
Brazil,2023-01-29,89.891266
Brazil,2023-01-31,89.89146
Brazil,2023-02-02,89.8939
Brazil,2023-02-03,89.91008
Brazil,2023-02-04,89.91017
Brazil,2023-02-05,89.910385
Brazil,2023-02-07,89.91497
Brazil,2023-02-08,89.91524
Brazil,2023-02-11,89.93834
Brazil,2023-02-13,89.94612
Brazil,2023-02-14,89.94629
Brazil,2023-02-15,89.949974
Brazil,2023-02-16,89.95
Brazil,2023-02-17,89.95038
Brazil,2023-02-19,89.95041
Brazil,2023-02-20,89.95042
Brazil,2023-02-21,90.01822
Brazil,2023-02-24,90.018555
Brazil,2023-02-26,90.0188
Brazil,2023-02-28,90.04861
Brazil,2023-03-02,90.05234
Brazil,2023-03-03,90.05612
Brazil,2023-03-04,90.05641
Brazil,2023-03-05,90.05643
Brazil,2023-03-07,90.05665
Brazil,2023-03-08,90.056816
Brazil,2023-03-10,90.07951
Brazil,2023-03-11,90.1322
Brazil,2023-03-13,90.13482
Brazil,2023-03-14,90.15582
Brazil,2023-03-16,90.15602
Brazil,2023-03-18,90.16764
Brazil,2023-03-19,90.167816
Brazil,2023-03-21,90.17226
Brazil,2023-03-22,90.17484
Canada,2020-12-14,0.000012879557
Canada,2020-12-15,0.0018701118
Canada,2020-12-16,0.007797284
Canada,2020-12-17,0.018757788
Canada,2020-12-18,0.029100074
Canada,2020-12-19,0.03187433
Canada,2020-12-20,0.034094766
Canada,2020-12-21,0.054313093
Canada,2020-12-22,0.0692302
Canada,2020-12-23,0.0916226
Canada,2020-12-24,0.117904626
Canada,2020-12-25,0.12576889
Canada,2020-12-26,0.12580752
Canada,2020-12-27,0.1351117
Canada,2020-12-28,0.1521797
Canada,2020-12-29,0.18569747
Canada,2020-12-30,0.20771892
Canada,2020-12-31,0.24772026
Canada,2021-01-01,0.2716505
Canada,2021-01-02,0.2836465
Canada,2021-01-03,0.29709533
Canada,2021-01-04,0.35795638
Canada,2021-01-05,0.40400338
Canada,2021-01-06,0.47527885
Canada,2021-01-07,0.5685037
Canada,2021-01-08,0.6731346
Canada,2021-01-09,0.76326317
Canada,2021-01-10,0.8238255
Canada,2021-01-11,0.92267346
Canada,2021-01-12,0.9991188
Canada,2021-01-13,1.0571773
Canada,2021-01-14,1.159204
Canada,2021-01-15,1.2788293
Canada,2021-01-16,1.3734734
Canada,2021-01-17,1.4438732
Canada,2021-01-18,1.5483599
Canada,2021-01-19,1.6440704
Canada,2021-01-20,1.7218887
Canada,2021-01-21,1.8179573
Canada,2021-01-22,1.8997219
Canada,2021-01-23,1.9592434
Canada,2021-01-24,1.9901981
Canada,2021-01-25,2.0294318
Canada,2021-01-26,2.084693
Canada,2021-01-27,2.1196816
Canada,2021-01-28,2.158578
Canada,2021-01-29,2.1904082
Canada,2021-01-30,2.2075562
Canada,2021-01-31,2.214318
Canada,2021-02-01,2.2496982
Canada,2021-02-02,2.2669747
Canada,2021-02-03,2.2781208
Canada,2021-02-04,2.296286
Canada,2021-02-05,2.3228462
Canada,2021-02-06,2.343111
Canada,2021-02-07,2.3587673
Canada,2021-02-08,2.385755
Canada,2021-02-09,2.4101336
Canada,2021-02-10,2.4351585
Canada,2021-02-11,2.4678366
Canada,2021-02-12,2.5041053
Canada,2021-02-13,2.536866
Canada,2021-02-14,2.5429785
Canada,2021-02-15,2.5474348
Canada,2021-02-16,2.569526
Canada,2021-02-17,2.582341
Canada,2021-02-18,2.6024768
Canada,2021-02-19,2.668987
Canada,2021-02-20,2.7567713
Canada,2021-02-21,2.8309731
Canada,2021-02-22,2.9083304
Canada,2021-02-23,2.987689
Canada,2021-02-24,3.0697138
Canada,2021-02-25,3.177392
Canada,2021-02-26,3.3205895
Canada,2021-02-27,3.4604204
Canada,2021-02-28,3.5641832
Canada,2021-03-01,3.6836462
Canada,2021-03-02,3.8508976
Canada,2021-03-03,4.026572
Canada,2021-03-04,4.218573
Canada,2021-03-05,4.4327393
Canada,2021-03-06,4.616806
Canada,2021-03-07,4.7601323
Canada,2021-03-08,4.9576173
Canada,2021-03-09,5.1298065
Canada,2021-03-10,5.320821
Canada,2021-03-11,5.5626373
Canada,2021-03-12,5.84344
Canada,2021-03-13,6.109944
Canada,2021-03-14,6.344694
Canada,2021-03-15,6.6524334
Canada,2021-03-16,6.955126
Canada,2021-03-17,7.305509
Canada,2021-03-18,7.6971407
Canada,2021-03-19,8.106713
Canada,2021-03-20,8.438658
Canada,2021-03-21,8.6639185
Canada,2021-03-22,9.032243
Canada,2021-03-23,9.34729
Canada,2021-03-24,9.779806
Canada,2021-03-25,10.255721
Canada,2021-03-26,10.798116
Canada,2021-03-27,11.220509
Canada,2021-03-28,11.59249
Canada,2021-03-29,12.063514
Canada,2021-03-30,12.493189
Canada,2021-03-31,13.050733
Canada,2021-04-01,13.563624
Canada,2021-04-02,13.989438
Canada,2021-04-03,14.482592
Canada,2021-04-04,14.791886
Canada,2021-04-05,15.228376
Canada,2021-04-06,15.7204485
Canada,2021-04-07,16.281956
Canada,2021-04-08,16.904657
Canada,2021-04-09,17.63947
Canada,2021-04-10,18.22459
Canada,2021-04-11,18.684507
Canada,2021-04-12,19.50414
Canada,2021-04-13,20.169079
Canada,2021-04-14,20.904613
Canada,2021-04-15,21.659262
Canada,2021-04-16,22.47132
Canada,2021-04-17,23.067223
Canada,2021-04-18,23.570852
Canada,2021-04-19,24.195906
Canada,2021-04-20,24.7823
Canada,2021-04-21,25.569565
